,No.,Time,Source,Destination,Protocol,Length,Info
0,1,0.0,fe80::8127:4267:e695:3607,ff02::1:3,LLMNR,86,Standard query 0xe07f A isatap
1,2,0.000875,192.168.1.4,224.0.0.252,LLMNR,66,Standard query 0xe07f A isatap
2,3,0.009516,0.0.0.0,255.255.255.255,DHCP,342,DHCP Discover - Transaction ID 0x9c3eafd0
3,4,0.02028,fe80::8127:4267:e695:3607,ff02::1:2,DHCPv6,145,Solicit XID: 0xd50713 CID: 000100011d9eae3608002755261c 
4,5,0.023635,192.168.1.3,255.255.255.255,DHCP,590,DHCP Offer    - Transaction ID 0x9c3eafd0
5,6,0.024064,0.0.0.0,255.255.255.255,DHCP,344,DHCP Request  - Transaction ID 0x9c3eafd0
6,7,0.07095599999999999,192.168.1.3,255.255.255.255,DHCP,590,DHCP ACK      - Transaction ID 0x9c3eafd0
7,8,0.088417,fe80::8127:4267:e695:3607,ff02::16,ICMPv6,90,Multicast Listener Report Message v2
8,9,0.09306299999999999,192.168.1.4,224.0.0.22,IGMPv3,54,Membership Report / Join group 224.0.0.252 for any sources
9,10,0.098571,PcsCompu_55:26:1c,Broadcast,ARP,42,Who has 192.168.1.1? Tell 192.168.1.4
10,11,0.098683,RealtekU_12:35:00,PcsCompu_55:26:1c,ARP,42,192.168.1.1 is at 52:54:00:12:35:00
11,12,0.1011,fe80::8127:4267:e695:3607,ff02::1:3,LLMNR,83,Standard query 0xe80a ANY PCA
12,13,0.10164,192.168.1.4,224.0.0.252,LLMNR,63,Standard query 0xe80a ANY PCA
13,14,0.113081,fe80::8127:4267:e695:3607,ff02::1:3,LLMNR,86,Standard query 0xe07f A isatap
14,15,0.113692,192.168.1.4,224.0.0.252,LLMNR,66,Standard query 0xe07f A isatap
15,16,0.18695799999999999,fe80::8127:4267:e695:3607,ff02::1:3,LLMNR,83,Standard query 0xe80a ANY PCA
16,17,0.187297,192.168.1.4,224.0.0.252,LLMNR,63,Standard query 0xe80a ANY PCA
17,18,0.31156300000000003,fe80::8127:4267:e695:3607,ff02::1:3,LLMNR,86,Standard query 0x0189 A isatap
18,19,0.312279,192.168.1.4,224.0.0.252,LLMNR,66,Standard query 0x0189 A isatap
19,20,0.329665,PcsCompu_55:26:1c,Broadcast,ARP,42,Who has 192.168.1.1? Tell 192.168.1.4
20,21,0.329835,RealtekU_12:35:00,PcsCompu_55:26:1c,ARP,42,192.168.1.1 is at 52:54:00:12:35:00
21,22,0.348648,PcsCompu_55:26:1c,Broadcast,ARP,42,Who has 192.168.1.4? (ARP Probe)
22,23,0.34894000000000003,192.168.1.4,224.0.0.22,IGMPv3,54,Membership Report / Join group 224.0.0.252 for any sources
23,24,0.349061,::,ff02::1:ff95:3607,ICMPv6,78,Neighbor Solicitation for fe80::8127:4267:e695:3607
24,25,0.349113,fe80::8127:4267:e695:3607,ff02::2,ICMPv6,70,Router Solicitation from 08:00:27:55:26:1c
25,26,0.349162,fe80::8127:4267:e695:3607,ff02::16,ICMPv6,110,Multicast Listener Report Message v2
26,27,0.44253400000000004,fe80::8127:4267:e695:3607,ff02::1:3,LLMNR,86,Standard query 0x0189 A isatap
27,28,0.443105,192.168.1.4,224.0.0.252,LLMNR,66,Standard query 0x0189 A isatap
28,29,0.514121,192.168.1.4,8.8.8.8,DNS,85,Standard query 0x4f67 A teredo.ipv6.microsoft.com
29,30,0.536691,8.8.8.8,192.168.1.4,DNS,140,Standard query response 0x4f67 No such name A teredo.ipv6.microsoft.com SOA ns1.msft.net
30,31,0.674926,fe80::8127:4267:e695:3607,ff02::1:3,LLMNR,86,Standard query 0x2cdc A isatap
31,32,0.675776,192.168.1.4,224.0.0.252,LLMNR,66,Standard query 0x2cdc A isatap
32,33,0.7692359999999999,fe80::8127:4267:e695:3607,ff02::1:3,LLMNR,86,Standard query 0x2cdc A isatap
33,34,0.769771,192.168.1.4,224.0.0.252,LLMNR,66,Standard query 0x2cdc A isatap
34,35,0.8620190000000001,fe80::8127:4267:e695:3607,ff02::16,ICMPv6,90,Multicast Listener Report Message v2
35,36,1.005975,fe80::8127:4267:e695:3607,ff02::1:3,LLMNR,86,Standard query 0xfc42 A isatap
36,37,1.006543,192.168.1.4,224.0.0.252,LLMNR,66,Standard query 0xfc42 A isatap
37,38,1.035255,fe80::8127:4267:e695:3607,ff02::1:2,DHCPv6,145,Solicit XID: 0xd50713 CID: 000100011d9eae3608002755261c 
38,39,1.102258,fe80::8127:4267:e695:3607,ff02::1:3,LLMNR,86,Standard query 0xfc42 A isatap
39,40,1.102817,192.168.1.4,224.0.0.252,LLMNR,66,Standard query 0xfc42 A isatap
40,41,1.311696,fe80::8127:4267:e695:3607,ff02::1:3,LLMNR,86,Standard query 0x7613 A isatap
41,42,1.3129030000000002,192.168.1.4,224.0.0.252,LLMNR,66,Standard query 0x7613 A isatap
42,43,1.341764,PcsCompu_55:26:1c,Broadcast,ARP,42,Who has 192.168.1.4? (ARP Probe)
43,44,1.431981,fe80::8127:4267:e695:3607,ff02::1:3,LLMNR,86,Standard query 0x7613 A isatap
44,45,1.4327729999999999,192.168.1.4,224.0.0.252,LLMNR,66,Standard query 0x7613 A isatap
45,46,1.495827,fe80::8127:4267:e695:3607,ff02::16,ICMPv6,90,Multicast Listener Report Message v2
46,47,1.496282,192.168.1.4,224.0.0.22,IGMPv3,54,Membership Report / Leave group 224.0.0.252
47,48,1.500122,PcsCompu_55:26:1c,Broadcast,ARP,42,Who has 192.168.1.1? Tell 192.168.1.4
48,49,1.500218,RealtekU_12:35:00,PcsCompu_55:26:1c,ARP,42,192.168.1.1 is at 52:54:00:12:35:00
49,50,1.510665,fe80::8127:4267:e695:3607,ff02::16,ICMPv6,90,Multicast Listener Report Message v2
50,51,1.5115,192.168.1.4,224.0.0.22,IGMPv3,54,Membership Report / Join group 224.0.0.252 for any sources
51,52,1.513144,fe80::8127:4267:e695:3607,ff02::1:3,LLMNR,83,Standard query 0x9488 ANY PCA
52,53,1.513825,192.168.1.4,224.0.0.252,LLMNR,63,Standard query 0x9488 ANY PCA
53,54,1.576916,fe80::8127:4267:e695:3607,ff02::16,ICMPv6,90,Multicast Listener Report Message v2
54,55,1.577842,192.168.1.4,224.0.0.22,IGMPv3,54,Membership Report / Join group 239.255.255.250 for any sources
55,56,1.597785,192.168.1.4,239.255.255.250,UDP,1033,58970  >  3702 Len=991
56,57,1.598969,fe80::8127:4267:e695:3607,ff02::c,UDP,1053,58971  >  3702 Len=991
57,58,1.624827,fe80::8127:4267:e695:3607,ff02::1:3,LLMNR,83,Standard query 0x9488 ANY PCA
58,59,1.625208,192.168.1.4,224.0.0.252,LLMNR,63,Standard query 0x9488 ANY PCA
59,60,1.6260809999999999,192.168.1.4,239.255.255.250,SSDP,555,NOTIFY * HTTP/1.1 
60,61,1.6264969999999999,fe80::8127:4267:e695:3607,ff02::c,SSDP,585,NOTIFY * HTTP/1.1 
61,62,1.7029900000000002,192.168.1.4,8.8.8.8,DNS,76,Standard query 0xc762 A dns.msftncsi.com
62,63,1.725382,8.8.8.8,192.168.1.4,DNS,92,Standard query response 0xc762 A dns.msftncsi.com A 131.107.255.255
63,64,1.72815,192.168.1.4,8.8.8.8,DNS,76,Standard query 0x4003 AAAA dns.msftncsi.com
64,65,1.7296080000000003,192.168.1.4,239.255.255.250,UDP,1033,58970  >  3702 Len=991
65,66,1.731368,fe80::8127:4267:e695:3607,ff02::c,UDP,1053,58971  >  3702 Len=991
66,67,1.7505669999999998,8.8.8.8,192.168.1.4,DNS,104,Standard query response 0x4003 AAAA dns.msftncsi.com AAAA fd3e:4f5a:5b81::1
67,68,1.84117,192.168.1.4,224.0.0.22,IGMPv3,62,Membership Report / Join group 224.0.0.252 for any sources / Join group 239.255.255.250 for any sources
68,69,1.8414220000000001,fe80::8127:4267:e695:3607,ff02::16,ICMPv6,110,Multicast Listener Report Message v2
69,70,1.903559,192.168.1.4,239.255.255.250,SSDP,541,NOTIFY * HTTP/1.1 
70,71,1.9040599999999999,fe80::8127:4267:e695:3607,ff02::c,SSDP,571,NOTIFY * HTTP/1.1 
71,72,2.029461,192.168.1.4,239.255.255.250,SSDP,539,NOTIFY * HTTP/1.1 
72,73,2.030255,fe80::8127:4267:e695:3607,ff02::c,SSDP,569,NOTIFY * HTTP/1.1 
